id,text,label,sub_label,source
C0085,"Received an email with link http://fake-support-helpdesk.info/verify asking to verify my account, after clicking I lost access and Rs.10000 was withdrawn.",Phishing,Fake Support Link,synthetic
C0086,A cloned social media account impersonating me asked my relatives to send money to pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0087,"Extortion attempt via WhatsApp from +91-8485793320, demanding payment to bank account.",Sextortion,Blackmail via Video Call,synthetic
C0088,"A fake support website http://fake-support-helpdesk.info/verify asked for my login credentials, my wallet linked to scammer674@okaxis was compromised.",Phishing,Fake Support Link,synthetic
C0089,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.100000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0090,"Someone posing as a bank employee called from +91-9095224592, asked for OTP for 'KYC update', money got deducted from my account.",Financial Fraud,KYC/Bank Impersonation,synthetic
C0091,A person called from +91-9095224592 saying my bank account will be blocked unless I verify KYC. Transferred Rs.100000 via UPI to scammer859@paytm on their instruction.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0092,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.15000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0093,I clicked a link http://fake-support-helpdesk.online/verify sent via SMS claiming to be customer support and entered my card details. Money was stolen.,Phishing,Fake Support Link,synthetic
C0094,"Extortion attempt via WhatsApp from +91-8485793320, demanding payment to bank account.",Sextortion,Blackmail via Video Call,synthetic
C0095,"Received an email with link http://fake-support-helpdesk.xyz/verify asking to verify my account, after clicking I lost access and Rs.5000 was withdrawn.",Phishing,Fake Support Link,synthetic
C0096,"Extortion attempt via WhatsApp from +91-8485793320, demanding payment to bank account.",Sextortion,Blackmail via Video Call,synthetic
C0097,"A fake support website http://fake-support-helpdesk.shop/verify asked for my login credentials, my wallet linked to scammer674@okaxis was compromised.",Phishing,Fake Support Link,synthetic
C0098,"Extortion attempt via WhatsApp from +91-8485793320, demanding payment to bank account.",Sextortion,Blackmail via Video Call,synthetic
C0099,"Received threat messages from hacked account, attacker demanded money to pay949@paytm to restore access.",Hacking,Email/Account Compromise,synthetic
C0100,A person called from +91-9095224592 saying my bank account will be blocked unless I verify KYC. Transferred Rs.100000 via UPI to scammer859@paytm on their instruction.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0101,"A fake support website http://fake-support-helpdesk.online/verify asked for my login credentials, my wallet linked to scammer674@okaxis was compromised.",Phishing,Fake Support Link,synthetic
C0102,"Received an email with link http://fake-support-helpdesk.shop/verify asking to verify my account, after clicking I lost access and Rs.50000 was withdrawn.",Phishing,Fake Support Link,synthetic
C0103,Someone created a fake profile using my photos and contacted my friends asking for money via pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0104,"A fake support website http://fake-support-helpdesk.shop/verify asked for my login credentials, my wallet linked to scammer674@okaxis was compromised.",Phishing,Fake Support Link,synthetic
C0105,A cloned social media account impersonating me asked my relatives to send money to pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0106,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.10000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0107,I received a call from +91-9095224592 claiming to be from my bank asking me to update my KYC. They asked for OTP and my account was debited.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0108,I clicked a link http://fake-support-helpdesk.xyz/verify sent via SMS claiming to be customer support and entered my card details. Money was stolen.,Phishing,Fake Support Link,synthetic
C0109,A person called from +91-9095224592 saying my bank account will be blocked unless I verify KYC. Transferred Rs.15000 via UPI to scammer859@paytm on their instruction.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0110,"A fake support website http://fake-support-helpdesk.xyz/verify asked for my login credentials, my wallet linked to scammer674@okaxis was compromised.",Phishing,Fake Support Link,synthetic
C0111,"My identity was used to open a fraud account, contact number linked was +91-7509438221.",Identity Theft,Social Media Impersonation,synthetic
C0112,"Unauthorized login detected from IP 151.18.4.68, my account was compromised and used for further scams.",Hacking,Email/Account Compromise,synthetic
C0113,"Received an email with link http://fake-support-helpdesk.shop/verify asking to verify my account, after clicking I lost access and Rs.50000 was withdrawn.",Phishing,Fake Support Link,synthetic
C0114,"A fake support website http://fake-support-helpdesk.xyz/verify asked for my login credentials, my wallet linked to scammer674@okaxis was compromised.",Phishing,Fake Support Link,synthetic
C0115,"Unauthorized login detected from IP 41.207.176.78, my account was compromised and used for further scams.",Hacking,Email/Account Compromise,synthetic
C0116,"My email account was hacked, attacker sent password reset link http://account-recovery.xyz/verify to change my credentials.",Hacking,Email/Account Compromise,synthetic
C0117,Someone created a fake profile using my photos and contacted my friends asking for money via pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0118,Someone created a fake profile using my photos and contacted my friends asking for money via pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0119,I received a call from +91-9095224592 claiming to be from my bank asking me to update my KYC. They asked for OTP and my account was debited.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0120,Someone created a fake profile using my photos and contacted my friends asking for money via pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0121,"Extortion attempt via WhatsApp from +91-8485793320, demanding payment to bank account.",Sextortion,Blackmail via Video Call,synthetic
C0122,"Received threat messages from hacked account, attacker demanded money to pay949@paytm to restore access.",Hacking,Email/Account Compromise,synthetic
C0123,"My identity was used to open a fraud account, contact number linked was +91-7509438221.",Identity Theft,Social Media Impersonation,synthetic
C0124,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.50000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0125,"Received threat messages from hacked account, attacker demanded money to pay949@paytm to restore access.",Hacking,Email/Account Compromise,synthetic
C0126,"Unauthorized login detected from IP 183.250.148.161, my account was compromised and used for further scams.",Hacking,Email/Account Compromise,synthetic
C0127,I received a call from +91-9095224592 claiming to be from my bank asking me to update my KYC. They asked for OTP and my account was debited.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0128,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.100000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0129,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.25000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0130,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.5000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0131,"Received an email with link http://fake-support-helpdesk.shop/verify asking to verify my account, after clicking I lost access and Rs.75000 was withdrawn.",Phishing,Fake Support Link,synthetic
C0132,Someone created a fake profile using my photos and contacted my friends asking for money via pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0133,I received a call from +91-9095224592 claiming to be from my bank asking me to update my KYC. They asked for OTP and my account was debited.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0134,I clicked a link http://fake-support-helpdesk.info/verify sent via SMS claiming to be customer support and entered my card details. Money was stolen.,Phishing,Fake Support Link,synthetic
C0135,"A fake support website http://fake-support-helpdesk.online/verify asked for my login credentials, my wallet linked to scammer674@okaxis was compromised.",Phishing,Fake Support Link,synthetic
C0136,"My email account was hacked, attacker sent password reset link http://account-recovery.shop/verify to change my credentials.",Hacking,Email/Account Compromise,synthetic
C0137,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.25000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0138,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.10000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0139,"Unauthorized login detected from IP 163.215.178.225, my account was compromised and used for further scams.",Hacking,Email/Account Compromise,synthetic
C0140,I received a call from +91-9095224592 claiming to be from my bank asking me to update my KYC. They asked for OTP and my account was debited.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0141,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.10000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0142,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.10000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0143,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.10000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0144,"Someone posing as a bank employee called from +91-9095224592, asked for OTP for 'KYC update', money got deducted from my account.",Financial Fraud,KYC/Bank Impersonation,synthetic
C0145,Someone created a fake profile using my photos and contacted my friends asking for money via pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0146,"Received an email with link http://fake-support-helpdesk.shop/verify asking to verify my account, after clicking I lost access and Rs.100000 was withdrawn.",Phishing,Fake Support Link,synthetic
C0147,"Someone posing as a bank employee called from +91-9095224592, asked for OTP for 'KYC update', money got deducted from my account.",Financial Fraud,KYC/Bank Impersonation,synthetic
C0148,"Received an email with link http://fake-support-helpdesk.shop/verify asking to verify my account, after clicking I lost access and Rs.75000 was withdrawn.",Phishing,Fake Support Link,synthetic
C0149,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.75000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0150,"A fake support website http://fake-support-helpdesk.info/verify asked for my login credentials, my wallet linked to scammer674@okaxis was compromised.",Phishing,Fake Support Link,synthetic
C0151,"Unauthorized login detected from IP 193.179.171.25, my account was compromised and used for further scams.",Hacking,Email/Account Compromise,synthetic
C0152,"Extortion attempt via WhatsApp from +91-8485793320, demanding payment to bank account.",Sextortion,Blackmail via Video Call,synthetic
C0153,"My email account was hacked, attacker sent password reset link http://account-recovery.online/verify to change my credentials.",Hacking,Email/Account Compromise,synthetic
C0154,"Someone posing as a bank employee called from +91-9095224592, asked for OTP for 'KYC update', money got deducted from my account.",Financial Fraud,KYC/Bank Impersonation,synthetic
C0155,"I received a video call from +91-8485793320 and was later blackmailed with a recorded video, asked to pay to pay266@paytm.",Sextortion,Blackmail via Video Call,synthetic
C0156,I received a call from +91-9095224592 claiming to be from my bank asking me to update my KYC. They asked for OTP and my account was debited.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0157,Someone created a fake profile using my photos and contacted my friends asking for money via pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0158,I received a call from +91-9095224592 claiming to be from my bank asking me to update my KYC. They asked for OTP and my account was debited.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0159,"My identity was used to open a fraud account, contact number linked was +91-7509438221.",Identity Theft,Social Media Impersonation,synthetic
C0160,Someone created a fake profile using my photos and contacted my friends asking for money via pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0161,"A fake support website http://fake-support-helpdesk.info/verify asked for my login credentials, my wallet linked to scammer674@okaxis was compromised.",Phishing,Fake Support Link,synthetic
C0162,"Extortion attempt via WhatsApp from +91-8485793320, demanding payment to bank account.",Sextortion,Blackmail via Video Call,synthetic
C0163,Someone created a fake profile using my photos and contacted my friends asking for money via pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0164,Someone created a fake profile using my photos and contacted my friends asking for money via pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0165,I received a call from +91-9095224592 claiming to be from my bank asking me to update my KYC. They asked for OTP and my account was debited.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0166,A person called from +91-9095224592 saying my bank account will be blocked unless I verify KYC. Transferred Rs.5000 via UPI to scammer859@paytm on their instruction.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0167,I received a call from +91-9095224592 claiming to be from my bank asking me to update my KYC. They asked for OTP and my account was debited.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0168,"Unauthorized login detected from IP 96.33.192.200, my account was compromised and used for further scams.",Hacking,Email/Account Compromise,synthetic
C0169,A person called from +91-9095224592 saying my bank account will be blocked unless I verify KYC. Transferred Rs.10000 via UPI to scammer859@paytm on their instruction.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0170,I received a call from +91-9095224592 claiming to be from my bank asking me to update my KYC. They asked for OTP and my account was debited.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0171,"Extortion attempt via WhatsApp from +91-8485793320, demanding payment to bank account.",Sextortion,Blackmail via Video Call,synthetic
C0172,"My email account was hacked, attacker sent password reset link http://account-recovery.online/verify to change my credentials.",Hacking,Email/Account Compromise,synthetic
C0173,"My email account was hacked, attacker sent password reset link http://account-recovery.online/verify to change my credentials.",Hacking,Email/Account Compromise,synthetic
C0174,A cloned social media account impersonating me asked my relatives to send money to pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0175,"A fake support website http://fake-support-helpdesk.online/verify asked for my login credentials, my wallet linked to scammer674@okaxis was compromised.",Phishing,Fake Support Link,synthetic
C0176,"My identity was used to open a fraud account, contact number linked was +91-7509438221.",Identity Theft,Social Media Impersonation,synthetic
C0177,"Received an email with link http://fake-support-helpdesk.online/verify asking to verify my account, after clicking I lost access and Rs.50000 was withdrawn.",Phishing,Fake Support Link,synthetic
C0178,"Unauthorized login detected from IP 199.217.80.84, my account was compromised and used for further scams.",Hacking,Email/Account Compromise,synthetic
C0179,"My email account was hacked, attacker sent password reset link http://account-recovery.xyz/verify to change my credentials.",Hacking,Email/Account Compromise,synthetic
C0180,A cloned social media account impersonating me asked my relatives to send money to pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0181,"Someone posing as a bank employee called from +91-9095224592, asked for OTP for 'KYC update', money got deducted from my account.",Financial Fraud,KYC/Bank Impersonation,synthetic
C0182,"I received a video call from +91-8485793320 and was later blackmailed with a recorded video, asked to pay to pay266@paytm.",Sextortion,Blackmail via Video Call,synthetic
C0183,"My identity was used to open a fraud account, contact number linked was +91-7509438221.",Identity Theft,Social Media Impersonation,synthetic
C0184,"Someone posing as a bank employee called from +91-9095224592, asked for OTP for 'KYC update', money got deducted from my account.",Financial Fraud,KYC/Bank Impersonation,synthetic
C0185,"Unauthorized login detected from IP 13.44.237.147, my account was compromised and used for further scams.",Hacking,Email/Account Compromise,synthetic
C0186,A cloned social media account impersonating me asked my relatives to send money to pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0187,A cloned social media account impersonating me asked my relatives to send money to pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0188,"Extortion attempt via WhatsApp from +91-8485793320, demanding payment to bank account.",Sextortion,Blackmail via Video Call,synthetic
C0189,A cloned social media account impersonating me asked my relatives to send money to pay204@ybl.,Identity Theft,Social Media Impersonation,synthetic
C0190,"Received threat messages from hacked account, attacker demanded money to pay949@paytm to restore access.",Hacking,Email/Account Compromise,synthetic
C0191,"Someone posing as a bank employee called from +91-9095224592, asked for OTP for 'KYC update', money got deducted from my account.",Financial Fraud,KYC/Bank Impersonation,synthetic
C0192,"Received threat messages from hacked account, attacker demanded money to pay949@paytm to restore access.",Hacking,Email/Account Compromise,synthetic
C0193,"Unauthorized login detected from IP 225.164.66.198, my account was compromised and used for further scams.",Hacking,Email/Account Compromise,synthetic
C0194,"Extortion attempt via WhatsApp from +91-8485793320, demanding payment to bank account.",Sextortion,Blackmail via Video Call,synthetic
C0195,I clicked a link http://fake-support-helpdesk.shop/verify sent via SMS claiming to be customer support and entered my card details. Money was stolen.,Phishing,Fake Support Link,synthetic
C0196,Unknown number +91-8485793320 is threatening to leak my private photos unless I pay Rs.100000 to pay266@paytm.,Sextortion,Blackmail via Video Call,synthetic
C0197,"A fake support website http://fake-support-helpdesk.shop/verify asked for my login credentials, my wallet linked to scammer674@okaxis was compromised.",Phishing,Fake Support Link,synthetic
C0198,"Someone posing as a bank employee called from +91-9095224592, asked for OTP for 'KYC update', money got deducted from my account.",Financial Fraud,KYC/Bank Impersonation,synthetic
C0199,"My email account was hacked, attacker sent password reset link http://account-recovery.online/verify to change my credentials.",Hacking,Email/Account Compromise,synthetic
C0200,"Received an email with link http://fake-support-helpdesk.online/verify asking to verify my account, after clicking I lost access and Rs.100000 was withdrawn.",Phishing,Fake Support Link,synthetic
C0201,A person called from +91-9095224592 saying my bank account will be blocked unless I verify KYC. Transferred Rs.15000 via UPI to scammer859@paytm on their instruction.,Financial Fraud,KYC/Bank Impersonation,synthetic
C0202,"Unauthorized login detected from IP 230.208.200.72, my account was compromised and used for further scams.",Hacking,Email/Account Compromise,synthetic
C0203,A person called from +91-9095224592 saying my bank account will be blocked unless I verify KYC. Transferred Rs.5000 via UPI to scammer859@paytm on their instruction.,Financial Fraud,KYC/Bank Impersonation,synthetic
